INFO 2026-02-02 10:41:03,980 autoreload 20694 126372112920704 Watching for file changes with StatReloader
WARNING 2026-02-02 10:44:34,298 log 20694 126372061181632 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 10:44:34,298 log 20694 126372061181632 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 10:44:35,179 log 20694 126372052788928 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 10:44:35,179 log 20694 126372052788928 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 10:45:35,341 log 20694 126372044396224 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 10:45:35,341 log 20694 126372044396224 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 10:47:35,690 log 20694 126372044396224 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 10:47:35,691 log 20694 126372044396224 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 10:52:36,246 log 20694 126372044396224 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 10:52:36,247 log 20694 126372044396224 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 10:55:45,316 log 20694 126372044396224 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 10:55:45,317 log 20694 126372044396224 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:02:58,367 log 20694 126372044396224 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:02:58,368 log 20694 126372044396224 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
INFO 2026-02-02 11:10:24,876 log 20694 126372044396224 "GET /admin/shopify_app/order/sync/ HTTP/1.1" 302 0
INFO 2026-02-02 11:10:24,958 log 20694 126372044396224 "GET /admin/shopify_app/order/ HTTP/1.1" 200 72413
INFO 2026-02-02 11:10:24,980 log 20694 126372044396224 "GET /admin/jsi18n/ HTTP/1.1" 200 8212
WARNING 2026-02-02 11:11:34,240 log 20694 126372052788928 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:11:34,241 log 20694 126372052788928 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:11:34,945 log 20694 126372061181632 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:11:34,945 log 20694 126372061181632 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:12:35,541 log 20694 126372044396224 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:12:35,542 log 20694 126372044396224 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:14:36,052 log 20694 126372044396224 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:14:36,053 log 20694 126372044396224 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:14:36,456 log 20694 126372061181632 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:14:36,457 log 20694 126372061181632 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:19:36,639 log 20694 126372061181632 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:19:36,640 log 20694 126372061181632 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:26:26,268 log 20694 126372061181632 Not Found: /
WARNING 2026-02-02 11:26:26,269 log 20694 126372061181632 "GET / HTTP/1.1" 404 2647
WARNING 2026-02-02 11:26:26,436 log 20694 126372061181632 Not Found: /favicon.ico
WARNING 2026-02-02 11:26:26,437 log 20694 126372061181632 "GET /favicon.ico HTTP/1.1" 404 2698
INFO 2026-02-02 11:26:29,781 log 20694 126372061181632 "GET /shopify/install?shop=nutricione.myshopify.com HTTP/1.1" 301 0
INFO 2026-02-02 11:26:29,879 log 20694 126372061181632 "GET /shopify/install/?shop=nutricione.myshopify.com HTTP/1.1" 302 0
INFO 2026-02-02 11:26:31,684 log 20694 126372044396224 "GET /shopify/callback/?code=f067d8921454cdf1187a9337dbeed6de&hmac=63b91a22f56b7d56a55c01591b90e2c2896af43264bb418da367725461b91b19&host=YWRtaW4uc2hvcGlmeS5jb20vc3RvcmUvMTNraHJwLWR4&shop=13khrp-dx.myshopify.com&state=random_string&timestamp=1770027991 HTTP/1.1" 200 108
WARNING 2026-02-02 11:26:31,723 log 20694 126372052788928 Not Found: /favicon.ico
WARNING 2026-02-02 11:26:31,724 log 20694 126372052788928 "GET /favicon.ico HTTP/1.1" 404 2666
INFO 2026-02-02 11:27:10,877 log 20694 126372044396224 "GET /admin/shopify_app/order/ HTTP/1.1" 200 15706
INFO 2026-02-02 11:27:10,902 log 20694 126372044396224 "GET /admin/jsi18n/ HTTP/1.1" 200 8212
INFO 2026-02-02 11:27:14,314 log 20694 126372044396224 "GET /admin/shopify_app/order/sync/ HTTP/1.1" 302 0
INFO 2026-02-02 11:27:14,340 log 20694 126372044396224 "GET /admin/shopify_app/order/ HTTP/1.1" 200 44415
INFO 2026-02-02 11:27:14,413 log 20694 126371829380800 "GET /admin/jsi18n/ HTTP/1.1" 200 8212
INFO 2026-02-02 11:27:31,104 log 20694 126372044396224 "GET /shopify/dashboard/ HTTP/1.1" 200 7036
WARNING 2026-02-02 11:32:44,099 log 20694 126372044396224 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:32:44,100 log 20694 126372044396224 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:32:45,041 log 20694 126371829380800 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:32:45,042 log 20694 126371829380800 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:33:45,658 log 20694 126372052788928 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:33:45,659 log 20694 126372052788928 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:35:46,260 log 20694 126372052788928 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:35:46,261 log 20694 126372052788928 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:40:47,270 log 20694 126372052788928 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:40:47,271 log 20694 126372052788928 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
WARNING 2026-02-02 11:41:37,385 log 20694 126371829380800 Unauthorized: /shopify/webhook/orders/create/
WARNING 2026-02-02 11:41:37,386 log 20694 126371829380800 "POST /shopify/webhook/orders/create/ HTTP/1.1" 401 14
